"","Journalnr.","Fisk nr.","År","Dato","Fangststed","Redskap","(mm)","Art","cm","g","K-faktor","Kjønn","Stadium","farge","Opphav","Merknad","otolitt","Alder","1.år","2.år","3.år","4.år","5.år","6.år","7.år","8.år","9.år","10 å","11år","12. år","13. år","14. år","NA","sodomi","sodomi","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"54",34479,54,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",21.8,95,0.916967882572514,"HUNN",2,"H","FF",NA,NA,3,6.5,12,18.5,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",34480,55,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",20.9,90,0.985833679561773,"HUNN",2,"LR","FF",NA,NA,3,7,13,17,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",34481,56,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",18,63,1.08024691358025,"HANN",2,"H","FF",NA,2,2,8.5,14,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",34482,57,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",18.7,70,1.07046684435397,"HANN",2,"H","FF",NA,NA,2,7,13.5,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",34483,58,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",22.7,117,1.0002493784134,"HANN",2,"LR","VILL","OPPFØRT SOM: FF ",4,4,4,10.5,15.5,19.5,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",34484,59,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",19.4,73,0.999810446896096,"HUNN",2,"H","FF",NA,NA,3,6.5,12,16.5,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",34485,60,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",16.8,50,1.05448925601987,"HANN",2,"H","FF",NA,NA,2,7,13,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",34486,61,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",19.8,84,1.08214065973478,"HANN",2,"H","FF",NA,NA,2,8,15,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",34487,62,2009,40052,"STÅVATN  ","BG",26,"ØRRET",22.6,110,0.952943973131831,"HANN",2,"LR","VILL",NA,4,4,4,7.5,15,19.5,22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",34488,63,2009,40052,"STÅVATN  ","BG",26,"ØRRET",25.4,160,0.976379905515717,"HUNN",2,"LR","FF",NA,NA,4,6.5,14,20,22.5,25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
